system,dataset,topk,recall,qps,label,source
PLAID+,lotte,100,0.946387,93.062673,c7m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.95072,85.556413,c8,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.953582,75.126893,c8m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.954265,67.487105,c10,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.956759,63.627787,c10m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.958257,60.114759,c11,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.958519,51.252167,c11m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.958557,44.965399,c13,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.960147,41.396216,c13m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.961331,38.182802,c14,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
IGP,lotte,100,0.8484,82.8706389,phi8_3000,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,lotte,100,0.8842,72.4008109,phi16_3000,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,lotte,100,0.8954,70.4771302,phi32_3000,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,lotte,100,0.9066,57.2836112,phi64_3000,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,lotte,100,0.9066,54.3744223,phi32_4000,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,lotte,100,0.9152,52.0562207,phi64_4000,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,lotte,100,0.9256,45.8673516,phi64_6000,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,lotte,100,0.9296,40.8847459,phi32_6000,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
Chimera-CPU,lotte,100,0.843514,257.949333,b2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.854766,249.66,b3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.889454,213.385,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.916196,182.723667,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.917489,181.166333,c2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.9368,159.116,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.946438,138.096333,e2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.949594,136.867333,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.956093,123.603333,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.964674,109.391333,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
